가자마, 47, 140
마차가, 79, 192
아아하, 84, 157
카다카, 88, 181
하파파, 99, 145
카다파, 99, 145
나가자, 48, 148
하하사, 97, 156
나바나, 93, 172
카바하, 94, 191
바사타, 88, 146
카하하, 54, 168
마차자, 53, 177
라나가, 48, 195
자자카, 72, 162
가타마, 57, 193
하아마, 96, 170
타라마, 64, 184
라다가, 62, 192
카타타, 83, 164
바사사, 92, 189
하파가, 70, 197
바타사, 60, 144
타마나, 57, 177
바파자, 48, 179
타가파, 90, 178
타사자, 68, 145
마자사, 73, 168
라바차, 92, 192
나자하, 90, 172
가하차, 84, 171
하카다, 51, 163
자사타, 52, 179
사다차, 75, 148
라다하, 68, 197
파아차, 50, 180
마아차, 60, 183
차하카, 51, 198
하아나, 97, 184
다라가, 62, 197
가자나, 70, 147
마나다, 96, 194
아다다, 78, 157
파자하, 93, 194
다다다, 81, 165
사타마, 88, 196
라타하, 67, 161
라마나, 80, 147
차다타, 48, 179
파다바, 44, 176
파바카, 41, 144
아하라, 75, 152
아다라, 62, 179
아파사, 97, 186
라카라, 67, 146
나가차, 91, 180
아라자, 95, 150
파가하, 80, 166
가아나, 75, 196
파나자, 53, 186
라하가, 40, 187
마차카, 72, 191
나가자, 72, 196
차차라, 57, 149
다나마, 50, 187
마바라, 47, 164
카아다, 55, 169
카타파, 64, 153
자자마, 79, 186
마다사, 40, 199
파가마, 48, 146
타아아, 79, 178
자사나, 92, 189
바다차, 77, 170
차차자, 68, 185
아아파, 96, 142
바바자, 79, 143
타가타, 57, 176
차아아, 77, 156
라라하, 71, 166
카타다, 74, 174
자라가, 86, 167
나마아, 55, 193
다나마, 66, 147
마바가, 67, 189
하아라, 65, 165
라자하, 41, 159
마카아, 88, 178
가라라, 90, 158
타타다, 73, 178
차하마, 80, 189
아하바, 50, 160
파아다, 53, 179
라차나, 90, 154
마하나, 74, 178
아차가, 51, 143
아하마, 80, 153
가다가, 71, 177
자아사, 79, 166
카카마, 88, 165
라가사, 50, 176
카다아, 58, 141
카파가, 46, 169
바다다, 76, 163
가파다, 48, 179
차다하, 87, 191
파카사, 62, 176
마마아, 95, 170
사하다, 49, 174
파차가, 58, 152
라마가, 52, 154
라아타, 70, 194
파라타, 41, 149
차차차, 58, 160
마바다, 60, 187
